3,4
3,60
4,5
5,6
5,49
6,7
6,29
7,8
7,13
8,2
9,10
9,64
9,68
9,16
10,12
10,63
11,12
11,13
12,65
13,14
13,28
14,15
14,27
16,17
16,18
18,19
18,20
18,26
20,21
20,25
21,22
21,23
22,42
23,24
23,34
25,26
25,66
26,27
27,28
28,29
28,70
29,30
29,50
30,31
30,36
30,35
31,33
31,66
31,32
32,35
32,34
32,71
34,41
34,44
35,44
36,50
36,37
37,38
37,45
37,40
38,39
38,46
39,40
40,41
40,44
41,42
42,43
45,46
45,52
46,47
47,48
48,55
49,50
49,51
49,52
51,55
51,53
52,53
53,54
55,57
56,57
57,58
58,59
58,60
60,61
61,62
63,64
2,1
66,67
68,69
